hero,region,division,pickrate,winrate,banrate
ana,americas,bronze,13.0,48.8,5.2
anran,americas,bronze,9.9,52.2,29.5
ashe,americas,bronze,8.9,49.4,0.6
baptiste,americas,bronze,4.8,45.5,0.1
bastion,americas,bronze,19.5,47.9,3.8
brigitte,americas,bronze,3.5,50.4,0.2
cassidy,americas,bronze,9.0,49.6,1.0
dmon,americas,bronze,12.0,55.4,17.5
domina,americas,bronze,5.5,48.9,6.0
doomfist,americas,bronze,2.9,54.3,13.6
dva,americas,bronze,10.8,44.7,3.3
echo,americas,bronze,4.6,46.8,0.7
emre,americas,bronze,7.5,47.1,0.2
freja,americas,bronze,7.3,48.7,1.7
genji,americas,bronze,6.9,53.2,3.3
hanzo,americas,bronze,7.6,49.7,0.7
hazard,americas,bronze,2.1,48.7,0.6
illari,americas,bronze,5.3,48.5,0.1
jetpack-cat,americas,bronze,6.6,52.1,44.4
junker-queen,americas,bronze,3.2,51.5,0.4
junkrat,americas,bronze,14.8,50.0,8.1
juno,americas,bronze,29.0,50.8,0.8
kiriko,americas,bronze,26.9,47.3,1.2
lifeweaver,americas,bronze,11.0,46.8,0.2
lucio,americas,bronze,7.6,50.1,0.5
mauga,americas,bronze,5.7,46.7,21.4
mei,americas,bronze,9.5,52.7,10.9
mercy,americas,bronze,22.6,47.0,7.2
mizuki,americas,bronze,16.0,52.7,1.2
moira,americas,bronze,36.2,51.3,13.7
orisa,americas,bronze,14.2,45.7,10.4
pharah,americas,bronze,5.6,50.1,9.1
ramattra,americas,bronze,11.3,50.6,9.8
reaper,americas,bronze,7.0,51.6,2.2
reinhardt,americas,bronze,10.1,54.3,6.1
roadhog,americas,bronze,4.9,46.1,9.1
shion,americas,bronze,11.3,48.5,1.6
sierra,americas,bronze,16.3,50.0,34.9
sigma,americas,bronze,10.2,49.2,5.1
sojourn,americas,bronze,11.7,44.4,0.3
soldier-76,americas,bronze,15.9,49.0,0.6
sombra,americas,bronze,2.3,51.1,74.0
symmetra,americas,bronze,3.3,51.6,4.4
torbjorn,americas,bronze,6.7,52.8,0.9
tracer,americas,bronze,3.8,50.4,8.2
vendetta,americas,bronze,4.1,52.6,5.3
venture,americas,bronze,2.4,52.2,0.5
widowmaker,americas,bronze,4.2,47.7,7.7
winston,americas,bronze,3.1,49.7,4.4
wrecking-ball,americas,bronze,2.0,51.4,10.1
wuyang,americas,bronze,6.4,49.6,0.1
zarya,americas,bronze,2.1,50.8,47.9
zenyatta,americas,bronze,11.0,52.6,1.2
ana,americas,silver,17.5,48.3,9.3
anran,americas,silver,9.2,52.0,33.5
ashe,americas,silver,9.5,50.4,0.9
baptiste,americas,silver,5.5,45.5,0.1
bastion,americas,silver,19.5,47.6,5.4
brigitte,americas,silver,3.7,49.7,0.1
cassidy,americas,silver,11.3,48.5,1.5
dmon,americas,silver,11.9,55.2,14.5
domina,americas,silver,5.0,49.4,6.1
doomfist,americas,silver,3.5,53.2,14.8
dva,americas,silver,7.1,44.6,2.2
echo,americas,silver,3.9,47.2,0.6
emre,americas,silver,7.1,47.4,0.2
freja,americas,silver,6.5,48.6,2.8
genji,americas,silver,7.4,52.8,3.4
hanzo,americas,silver,7.2,50.9,0.7
hazard,americas,silver,2.1,49.9,0.9
illari,americas,silver,5.2,48.3,0.1
jetpack-cat,americas,silver,7.1,52.8,37.1
junker-queen,americas,silver,3.3,51.4,0.4
junkrat,americas,silver,13.7,49.5,6.4
juno,americas,silver,24.5,51.1,0.5
kiriko,americas,silver,27.4,46.5,1.8
lifeweaver,americas,silver,11.5,48.3,0.3
lucio,americas,silver,6.6,49.7,0.5
mauga,americas,silver,6.0,48.0,24.3
mei,americas,silver,10.7,51.5,9.5
mercy,americas,silver,19.1,47.8,6.1
mizuki,americas,silver,17.0,51.8,2.1
moira,americas,silver,38.3,50.3,8.6
orisa,americas,silver,13.0,44.9,9.8
pharah,americas,silver,5.0,50.3,9.5
ramattra,americas,silver,11.7,49.7,12.0
reaper,americas,silver,9.3,51.2,2.1
reinhardt,americas,silver,12.1,53.5,3.8
roadhog,americas,silver,5.6,45.9,9.9
shion,americas,silver,9.7,48.7,1.4
sierra,americas,silver,14.7,49.8,34.4
sigma,americas,silver,10.2,48.7,4.2
sojourn,americas,silver,10.3,44.1,0.4
soldier-76,americas,silver,17.9,49.0,0.6
sombra,americas,silver,2.5,49.3,64.8
symmetra,americas,silver,3.5,49.8,4.6
torbjorn,americas,silver,6.9,52.5,0.9
tracer,americas,silver,4.0,50.9,5.3
vendetta,americas,silver,4.0,51.9,4.8
venture,americas,silver,2.6,51.6,0.5
widowmaker,americas,silver,3.5,48.2,4.6
winston,americas,silver,3.8,48.4,4.4
wrecking-ball,americas,silver,1.9,52.4,7.5
wuyang,americas,silver,5.3,50.5,0.1
zarya,americas,silver,2.9,49.9,60.5
zenyatta,americas,silver,11.2,53.1,1.3
ana,americas,gold,23.0,48.5,13.2
anran,americas,gold,8.3,51.6,34.3
ashe,americas,gold,11.1,51.0,1.6
baptiste,americas,gold,6.4,45.7,0.1
bastion,americas,gold,17.4,47.3,6.6
brigitte,americas,gold,3.7,49.3,0.1
cassidy,americas,gold,14.4,47.7,3.3
dmon,americas,gold,12.4,55.0,12.5
domina,americas,gold,4.4,48.7,5.7
doomfist,americas,gold,4.4,52.8,17.1
dva,americas,gold,5.6,44.9,2.1
echo,americas,gold,3.4,47.9,0.4
emre,americas,gold,7.1,47.3,0.2
freja,americas,gold,6.4,49.0,6.7
genji,americas,gold,8.5,53.7,4.2
hanzo,americas,gold,7.4,50.9,1.0
hazard,americas,gold,2.2,50.6,1.3
illari,americas,gold,4.7,48.6,0.1
jetpack-cat,americas,gold,7.3,53.5,33.7
junker-queen,americas,gold,3.7,52.0,0.4
junkrat,americas,gold,11.7,49.7,4.6
juno,americas,gold,22.4,51.5,0.3
kiriko,americas,gold,30.4,46.2,2.9
lifeweaver,americas,gold,11.8,48.0,0.4
lucio,americas,gold,5.4,50.2,0.5
mauga,americas,gold,5.8,48.3,27.5
mei,americas,gold,10.8,50.3,7.8
mercy,americas,gold,16.9,48.8,6.0
mizuki,americas,gold,16.1,51.1,3.8
moira,americas,gold,35.5,49.5,5.0
orisa,americas,gold,11.9,44.6,9.0
pharah,americas,gold,4.5,51.1,7.6
ramattra,americas,gold,10.8,48.5,11.8
reaper,americas,gold,10.4,50.1,1.9
reinhardt,americas,gold,12.6,53.0,2.4
roadhog,americas,gold,6.4,46.3,14.3
shion,americas,gold,8.9,49.2,1.4
sierra,americas,gold,13.2,49.4,29.4
sigma,americas,gold,9.9,48.6,3.7
sojourn,americas,gold,10.4,44.7,0.7
soldier-76,americas,gold,19.2,48.8,0.6
sombra,americas,gold,2.9,49.2,49.8
symmetra,americas,gold,3.5,49.0,4.5
torbjorn,americas,gold,6.1,51.6,0.8
tracer,americas,gold,4.5,51.0,4.6
vendetta,americas,gold,3.7,52.0,4.4
venture,americas,gold,2.6,51.5,0.6
widowmaker,americas,gold,3.5,50.9,4.2
winston,americas,gold,4.2,48.5,3.9
wrecking-ball,americas,gold,2.1,52.0,8.2
wuyang,americas,gold,5.1,50.9,0.1
zarya,americas,gold,3.7,49.1,61.3
zenyatta,americas,gold,11.4,53.5,2.0
ana,americas,platinum,29.4,49.2,13.7
anran,americas,platinum,7.3,51.6,31.1
ashe,americas,platinum,12.4,51.3,2.3
baptiste,americas,platinum,7.1,46.3,0.1
bastion,americas,platinum,14.2,46.7,7.2
brigitte,americas,platinum,4.0,49.2,0.1
cassidy,americas,platinum,18.5,46.8,6.6
dmon,americas,platinum,13.6,55.1,12.2
domina,americas,platinum,3.8,49.0,4.6
doomfist,americas,platinum,5.8,52.7,20.0
dva,americas,platinum,5.0,45.1,3.0
echo,americas,platinum,3.5,49.2,0.4
emre,americas,platinum,7.2,47.7,0.3
freja,americas,platinum,6.4,49.9,15.9
genji,americas,platinum,11.0,53.1,5.2
hanzo,americas,platinum,7.8,51.1,1.5
