month,sentiment,count,monthly_total,proportion
2017-01,Negative,92,204,0.45098039215686275
2017-01,Neutral,32,204,0.1568627450980392
2017-01,Positive,80,204,0.39215686274509803
2017-02,Negative,71,153,0.46405228758169936
2017-02,Neutral,30,153,0.19607843137254902
2017-02,Positive,52,153,0.33986928104575165
2017-03,Negative,39,135,0.28888888888888886
2017-03,Neutral,22,135,0.16296296296296298
2017-03,Positive,74,135,0.5481481481481482
2017-04,Negative,40,138,0.2898550724637681
2017-04,Neutral,33,138,0.2391304347826087
2017-04,Positive,65,138,0.47101449275362317
2017-05,Negative,46,144,0.3194444444444444
2017-05,Neutral,39,144,0.2708333333333333
2017-05,Positive,59,144,0.4097222222222222
2017-06,Negative,71,177,0.4011299435028249
2017-06,Neutral,30,177,0.1694915254237288
2017-06,Positive,76,177,0.4293785310734463
2017-07,Negative,76,227,0.33480176211453744
2017-07,Neutral,33,227,0.14537444933920704
2017-07,Positive,118,227,0.5198237885462555
2017-08,Negative,53,198,0.2676767676767677
2017-08,Neutral,51,198,0.25757575757575757
2017-08,Positive,94,198,0.47474747474747475
2017-09,Negative,65,249,0.26104417670682734
2017-09,Neutral,44,249,0.17670682730923695
2017-09,Positive,140,249,0.5622489959839357
2017-10,Negative,92,255,0.3607843137254902
2017-10,Neutral,44,255,0.17254901960784313
2017-10,Positive,119,255,0.4666666666666667
2017-11,Negative,84,237,0.35443037974683544
2017-11,Neutral,30,237,0.12658227848101267
2017-11,Positive,123,237,0.5189873417721519
2017-12,Negative,52,175,0.29714285714285715
2017-12,Neutral,22,175,0.12571428571428572
2017-12,Positive,101,175,0.5771428571428572
